Player_Name,total_runs,strikerate
,,
A Flintoff,62,116.9810028
A Symonds,974,130.2140045
A Zampa,5,62.5
AA Noffke,9,90
AB de Villiers,4414,152.102005
AB McDonald,123,124.2419968
Abdur Razzak,,
AC Blizzard,120,134.8309937
AC Gilchrist,2069,138.6730042
,,
AC Voges,181,127.4649963
AD Mascarenhas,79,101.2819977
AD Mathews,724,126.3529968
AD Russell,1415,188.1649933
AF Milne,7,58.33330154
AJ Finch,1741,130.7059937
Azhar Mahmood,388,128.477005
B Laughlin,5,38.46149826
B Lee,124,129.1670074
,,
BB McCullum,2886,132.0820007
BCJ Cutting,239,169.5039978
BE Hendricks,1,33.33330154
BJ Haddin,18,163.6360016
BJ Hodge,1400,125.3359985
BJ Rohrer,193,136.8789978
BMAJ Mendis,23,85.18520355
BR Dunk,40,114.2860031
C Munro,178,126.2409973
CA Ingram,21,80.76920319
CA Lynn,1288,141.6940002
CH Gayle,4525,152.2539978
CH Morris,519,158.7160034
CJ Anderson,538,127.1869965
CJ Ferguson,98,84.48280334
CJ Jordan,3,60
CJ McKay,8,53.33330154
CK Kapugedera,16,69.56520081
CK Langeveldt,8,88.88890076
CL White,971,127.7630005
CR Brathwaite,182,165.4550018
,,
D du Preez,10,76.92310333
D Wiese,127,141.1109924
DA Miller,1858,140.0149994
DA Warner,4717,143.2870026
DAJ Bracewell,12,133.3329926
DE Bollinger,21,95.45449829
DJ Bravo,1494,129.3509979
DJ Harris,111,109.901001
DJ Hussey,1322,123.6669998
DJ Jacobs,92,94.84539795
DJ Thornely,39,75
DJG Sammy,295,122.4069977
DL Vettori,121,111.0090027
DNT Zoysa,11,122.2220001
DP Nannes,4,30.76919937
DPMD Jayawardene,1808,123.8359985
DR Martyn,19,79.16670227
DR Smith,2385,135.6660004
DS Lehmann,18,100
DT Christian,448,120.1070023
DW Steyn,166,105.7320023
EJG Morgan,854,121.6520004
F Behardien,14,107.6920013
F du Plessis,1861,127.5530014
,,
GB Hogg,22,100
GC Smith,739,110.9609985
GD McGrath,4,80
GJ Bailey,663,122.098999
GJ Maxwell,1401,162.1529999
GR Napier,15,93.75
HH Gibbs,886,110.473999
HM Amla,577,141.7689972
J Botha,409,114.2460022
J Theron,10,83.33329773
JA Morkel,975,142.9620056
JC Buttler,1396,151.904007
JD Ryder,604,132.4559937
JDP Oram,106,98.14810181
JDS Neesham,42,91.3042984
,,
JEC Franklin,327,109
JH Kallis,2427,109.3740005
JJ van der Wath,18,112.5
JM Kemp,26,108.3330002
JO Holder,38,122.5810013
JP Duminy,2031,124.3720016
JP Faulkner,527,136.1759949
JR Hopes,417,136.720993
KA Pollard,2772,147.5249939
KAJ Roach,10,111.1110001
Kamran Akmal,128,164.1029968
KC Sangakkara,1687,121.6289978
KJ Abbott,13,162.5
KK Cooper,116,170.5879974
KMDN Kulasekara,5,250
KP Pietersen,1001,135.2700043
KS Williamson,1309,135.7879944
KW Richardson,36,92.30770111
L Ronchi,34,100
LA Carseldine,81,119.1179962
LA Pomersbach,302,123.7699966
LJ Wright,106,176.6670074
LMP Simmons,1079,126.7919998
LPC Silva,40,160
LRPL Taylor,1017,124.3280029
M de Lange,1,50
M Klinger,73,94.80519867
M Morkel,126,140
M Muralitharan,20,68.96549988
M Ntini,11,61.11109924
MA Starc,96,97.959198
,,
MC Henriques,969,128.1750031
MDKJ Perera,14,107.6920013
MEK Hussey,1977,122.947998
MG Johnson,168,104.3479996
Misbah-ul-Haq,117,144.4440002
MJ Clarke,98,104.2549973
MJ Guptill,271,138.2649994
MJ Lumb,278,144.0410004
MJ McClenaghan,88,125.7139969
ML Hayden,1107,138.0299988
MN Samuels,161,94.15200043
MN van Wyk,167,126.5149994
Mohammad Ashraful,2,20
Mohammad Asif,3,50
Mohammad Hafeez,64,78.04879761
MP Stoinis,476,131.4920044
MR Marsh,225,114.7959976
MS Wade,22,66.66670227
Mustafizur Rahman,1,33.33330154
MV Boucher,394,127.9219971
NJ Maddinson,20,95.23809814
,,
NL McCullum,26,123.8099976
NLTC Perera,424,139.0160065
NM Coulter-Nile,52,104
OA Shah,506,131.0879974
PD Collingwood,203,130.128006
PJ Cummins,77,140
PSP Handscomb,6,50
Q de Kock,1478,133.272995
R McLaren,159,94.08280182
R Rampaul,51,104.0820007
RE Levi,83,113.6989975
RE van der Merwe,159,112.7659988
RJ Harris,117,105.4049988
RJ Peterson,32,110.3450012
RJ Quiney,103,100.9800034
RN ten Doeschate,326,139.3159943
RR Rossouw,53,103.9219971
RR Sarwan,73,97.33329773
RS Bopara,531,117.4779968
RT Ponting,91,71.65350342
S Badree,13,56.52170181
S Chanderpaul,25,80.64520264
S Randiv,2,50
SA Abbott,15,115.3850021
Salman Butt,193,119.8759995
SB Styris,131,98.49620056
SE Bond,1,50
SE Marsh,2489,133.3869934
Shahid Afridi,81,176.0870056
Shakib Al Hasan,750,127.5510025
Shoaib Ahmed,1,16.66670036
Shoaib Akhtar,2,28.57139969
Shoaib Malik,52,110.6380005
SK Warne,198,92.95770264
SL Malinga,88,88.88890076
SM Harwood,9,69.23079681
SM Katich,241,130.9779968
SM Pollock,147,132.4320068
SMSM Senanayake,10,58.82350159
Sohail Tanvir,36,124.1380005
SP Fleming,196,118.788002
SP Narine,785,171.3970032
SR Watson,3590,139.9060059
ST Jayasuriya,768,144.6329956
SW Billings,337,134.8000031
SW Tait,23,88.46150208
T Henderson,11,68.75
T Taibu,31,119.2310028
T Thushara,12,66.66670227
TA Boult,12,85.71430206
TD Paine,10,38.46149826
TG Southee,115,127.7779999
TM Dilshan,1153,114.6119995
TM Head,205,138.5140076
TR Birt,75,129.3099976
Umar Gul,39,205.2630005
UT Khawaja,127,127
WD Parnell,63,84
WPUJC Vaas,81,110.9589996
Younis Khan,3,42.85710144
